GEL,EDC,NHS,d,e,f
5,6.7,6.7,224.45,18.4,6.133333333
6.7,6.7,6.7,300.763,20.1,6.7
8.3,6.7,6.7,372.587,21.7,7.233333333
5,10,10,500,25,8.333333333
5,13.3,13.3,884.45,31.6,10.53333333
6.7,10,10,670,26.7,8.9
6.7,13.3,13.3,1185.163,33.3,11.1
8.3,10,10,830,28.3,9.433333333
8.3,13.3,13.3,1468.187,34.9,11.63333333
5,13.3,6.7,445.55,25,8.333333333
6.7,13.3,6.7,597.037,26.7,8.9
8.3,13.3,6.7,739.613,28.3,9.433333333
5,20,10,1000,35,11.66666667
5,26.7,13.3,1775.55,45,15
6.7,20,10,1340,36.7,12.23333333
6.7,26.7,13.3,2379.237,46.7,15.56666667
8.3,20,10,1660,38.3,12.76666667
8.3,26.7,13.3,2947.413,48.3,16.1
5,26.7,6.7,894.45,38.4,12.8
6.7,26.7,6.7,1198.563,40.1,13.36666667
8.3,26.7,6.7,1484.787,41.7,13.9
5,40,10,2000,55,18.33333333
5,53.3,13.3,3544.45,71.6,23.86666667
6.7,40,10,2680,56.7,18.9
6.7,53.3,13.3,4749.563,73.3,24.43333333
8.3,40,10,3320,58.3,19.43333333
8.3,53.3,13.3,5883.787,74.9,24.96666667
